HolderAddress,Balance
0x315a3087D9953b684641d74ac07fA33398C893B4,16
0x59a9ceb318FE7392C3c3E35a2F37DEaD86b231a5,11
0xAbF9ffdB1CC9728fFf1B783C1322Cd71dc382aB8,8
0xb9650eD832EC4ae64A83bEe171Edfcb4cF1265AC,7
0x3083793874BD1823572c86c7CA1b362AE9712559,7
0x4Ad3973d882C17D76EE4332e992556ea0d3C6063,6
0x38dc5ED4FC0F64d3EecC52c2CdfD91Fc569fb926,6
0xE201d2088ad3e80437820A7AbC30701De042C754,5
0xB04ba3f1583C26f7A576a9c1b53AC33A4487e2F2,5
0xFDF4150bf6d4a883FA8f8545c1A143efCe06871d,4
0xfAB2039ed13c5a7C7041D0d5FAcAfb456FFBcdfE,4
0xedeFAba64d00CCcFB7117D637a1e5Ae8c5D24A07,4
0xADC0094F529d6b9eBb81c81306060AA4135101eE,4
0x3e9B7be1449FE3ce1dEEeB298cFd2d866bF13c43,4
0x273fe09bBA067ceD5405C5dcBa777385FCEeaAC5,4
0x1C086e074AAd1e2880F678d1307039EE0dAF8B38,4
0xEf4993567ec1Df8AEc7bEBa836135eFb0652c2Ef,3
0xDFfEb27bD35facc6a1f20C823335138be11c89c8,3
0xd5B505f530B489370C18945b173B921267b7E473,3
0xc471a93f69c919FDF7c9b3f085E3d2B22e8c97fd,3
0xbB0fFCF24DB6139888f9F8Ee4D4fb90b8F110484,3
0xB55de25DfF4D3C86343fec197Fc7BE6509b6a795,3
0xa982EB1064b6f4b9d40d177d4657BA360F53fef5,3
0x83548EbF1115Cd596ba435d4390E548c3927DDAC,3
0x81373A6c308364cd57657cA868c1048F0608BeA8,3
0x6E7Cd67111b27Eb4b6ebe30811190b793029a915,3
0x56693998F15435C30040B59a21A8584fA3EfFB6f,3
0x2C4c771c980D24aa680fa5bb37E52a9814BE6de1,3
0x1c50F44f9C8F1924A15b9CC7bd601F7070F7A945,3
0x176987A76d999BF117377aaaA6c2E54c44FCF6f7,3
0x16dFd999eD1134198857fA36901Ea0a1eFeD1BBA,3
0x0D53B9C590663353f8b7110AE538Fa4182A3e183,3
0x03a7dDD77384d1c99563d8eD8366A894eab4CF16,3
0xfE24f9E83510ba2DD26e867254C3a32de487EC46,2
0xEC8Ba3aF32A8Ad2F8dF2e276C4056273fdDbd726,2
0xe6c5ae44Dee02865B416Dfa463D5fC7c27A86947,2
0xE47440A7E0e4EcdF37c10493A7B27B5D605Cddab,2
0xDa0C6Ab78E9c730D99a5C83c574C40c5DC31aC41,2
0xD4aEDbbedA3E3425cb616aa7c1805bE981132AbC,2
0xD12632b2A051c20E7aBB5a52A4dA1A8607E6ede3,2
0xD0a3a4401C5206049C94482dF6c20169ce48D3CE,2
0xcc64cDE5F401404063066a8D63857b2354cB3d9c,2
0xCbeCC2920C14c70Bf763D7686a5ffB9c8329bc69,2
0xC33B6992331166C37263D54fB94CF85Fb40A7166,2
0xbfaf0A4D237965B7Bd0704f7ea884e5097BC92a4,2
0xBCFE03F3C4d8bB7E9F32746E23DFa08d7B10eCAf,2
0xb86cEFdfE2e7A4aAeBA126Ac474Ee0ba8e316C59,2
0xB751c0C9085fD354eC358D42845146D0ae67Db12,2
0xaf815aA9D242E1015056C33a256CdB5e393303d2,2
0xad7B6C993891ba5ec596d4230de2e1D4E27237EE,2
0x9fd963EfED7409757972a655636F4B05E83d12f4,2
0x9Cb069708774B78824dd96D6f12025397128B1C8,2
0x8F0DD04835a6DCF8F7042Ab57C82762c11086301,2
0x896D67d579E6040e3eFE2567647Aca4Fc84D945a,2
0x82F11E2Ca38BF25992874aa812b61555c8313D3e,2
0x7EF3d6C4c5BD113c2fb33d87b57AffDfDA226B11,2
0x7276C84408744d9940B31D4606fDBF59E5b41E43,2
0x6feCC980B91843595AEd8E28941675F71b286EA4,2
0x6c08936f15e3C075bC861E7320A31db3d73fA49B,2
0x6B50EBb0FCe93fC7D14b627dc49131eEf52C2d33,2
0x69175e338c0f8a155a50FEEf22563479c67FA6ad,2
0x5e85D2Ad3EF68728569Ea14bFFF74F8250a9f6c5,2
0x5C0641255a02E5980A12D6f1585514086Dbf7801,2
0x57bC83C2ed8E910a50048f2161ed7fB993aa74B3,2
0x55E59bc6b3747C90962d2Fcf556eF4278Ad3fECd,2
0x526978ad0567ceBbFABF3e3B1152e8d424DbA882,2
