HolderAddress,Balance
0xF15D93c3617525054aF05338CC6Ccf18886BD03A,3414587.562175842222222645
0xAA6a81A7df94DAb346e2d677225caD47220540C5,2019061.868426739226014622
0xA649a7b78071da654E677Cd4Bb7A55949911a483,577059.508600862072611718
0xD571cDfFb40E34e10df62121D3aaBbE5f1808d62,540835.45632934332504442
0x461aFC4541735948D3Cb937fB753A4688d6f33bD,477120.653536086291312993
0x120b56a0466B2043692999bC7149043397706BCa,440000.559840396233926137
0xb405B677f76567741AbB65d0AC74386065d0A204,418595.84366907030654231
0x6Fa636B0EE4B37c3fD0D30dF4C848F42C45E0cB2,397340.34128609264477223
0xac0e5a266d41459CC04A28c8DFA4b72adbC2E38D,3.819E+5
0x961f6af1729F276C9a053016A2da2706A19b7C42,373688.47621722520510392
0x93023ED94724af40Da8dd7AD03304fB28F1765d6,363269.080000000000000328
0x5409b1701849a11c4A61F599C170969260794920,300013.215668777534313932
0x6e77C8D699A60bcfC7be22A9b79e2Ec10743f266,3E+5
0xbFd7682602454bD79CAAdB34Ee4422237424Ea63,299964.079984402591913643
0x5c07Cd461a072ec4dD86eD6c062EBf62876246DE,288210.656418558782439503
0x8188F4e87627011E9d838e8aAA1B924017B9d886,282750.232623410753651384
0x66029EEcec3FFFc617201C575B3CDad069fc283F,274892.356204554218134334
0xeb94c4620f9E393bd31543F4fd18dD8F9406f5Be,248516.892590954825160571
0x6e80D898ED8475eCf4D7Be00eDb0edd60d897097,218128.404404456729740723
0x8046bBF2BcE6Fb1365Cb9d5253B898DF148Ae0ac,206433.129489304498886366
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,200859.176034811468733251
0x9d32572997DA4948063E3Fc11c2552Eb82F7208E,2E+5
0xd4bE42FFE0E8896a6246b97b5Df508588735F756,171823.353280602374288331
0x5998718C48487F6C883321E93be74AA57A72d83c,159032.949681849508288528
0x9f6Ff59e20D6bfF453BDAA5a253f54Ea2f8CC960,158714.346386528177259451
0x35a93CAAcFA60316603011F68ab487d027a0466e,150835.881924994143144399
0x590c17999BAf7748113B5A7316184Efe9b4751A6,146848.213028156806917899
0xDF7494B3C3aa53EfD45633A38F8d64214ABcF7CF,131966.485778766640026729
0xe530AeE47B86183aC81bAc5231532A3f1D967400,127733.899559688527580775
0xC974FCBaf5fde710aee7A74f867e9C3F1B82CbFE,126652.064578983669753024
0x200fAa462A1ac43E8b99D95bf093562Be73a3F1e,113330.160273952255886459
0x1E806fac0508c035345A883974a1f6e1cAaFb736,109482.484263793781786975
0xaBA383E60a549b8C83415Fd8F11B7f18F94F5830,100710.90062041773654219
0x0258Ec4b5B1FCBE0AEc18a0b65eF033fb374B24B,100079.041647032578105276
0xF26F9C9DaDF21Db1601e9087A7611BC6A5a49aE6,100034.933799864817967011
0x5F6E96515b0a67728f2dF32AaeBB1dda36DD4Fb2,100001
0x8B023c00b38e35a06817B23E7109816696EF0c42,1E+5
0xbA620CBDf20145AA892e3F5D206EDd2c5095b430,99737.750526266251698503
0x825C52ab66bF7f9b1b3432F7282F92E6Dd103D6a,98851.282777780464041052
0x1Cc4d549Addae3bDAB9bDb27dDff89B2572dBBf6,88631.679143734285122606
0x204518800271278787CA84e0F1B585D2952a8A4a,87397.062050952918258373
0x971aa15D6cef39fB66fB04BE1067B7A93f9db110,85649.508217626873789212
0x77d0B27052431163B355A611d74a4448ca24d22b,84981.71251113045048903
0xa0991CAc364e2214C718911632d2b7c1E185c137,82577.6094865528476842
0xb30C965B264CdC067c834360984f7C1754bA6088,74365.223418553276020241
0x94e4862A7f285f4f720f84088cFa9A7f6c405B86,68419.869291263346369217
0xeB9f25ff0Ca7B30eA2f2c6a393ecD2ccAb0D20BF,66700.164217064578766292
0x1fF64f22D924c414De06163FD0183321Ca6d4DF3,64072.466790298015688565
0x2b31c011477E694b9f4F5EB1907885D5565347b1,57287.85
0xBEa645Da9c7f6De1f7E287759CcBFd5ab9f57C08,56598.411462006564085236
0xbceeF1a55DFeA3aAdE9c90aD0D267CE2A23c6184,56036.240607376601205146
0x573dCB554067f2a8dA0E481f4554945A9cbE0d93,5.5E+4
0xbdccD248961934f321e14b42901cD16be4e284Df,54410.423625394461278158
0x810eb0dA4BBe210A22746B917853174C73b17f50,53784.999999999999999999
0xb20C014fBFEBF163258601f787272154E322DAE8,53589.064032569514409802
0x918A91E240896Aa88D0f7d47b16e5Ec01b1afB64,52706.946181092179362164
0xEC0aAD43C449d5D040D27F55E6c3d6a82dd10D38,51543.675217684927533732
0xB4C0dEeEa3Bf21DBC47A8ff22183eE7f13117C69,51357.724222367443834743
0xC7C43f56125024C6A5B03aF4d0DCD3DB33db5CE8,5E+4
0x99b4C858aF64190732B2BAe9fc603777ad2A7526,5E+4
0x6E695E2E9a5f74B4f4c1F46f765166604e6eC3D2,5E+4
0xE1d26f4aE8FE164F1f00483166F801F1A45109B7,49000.408163565114183674
0xA355E6194FA4a264fEb7b06305847cA0412B6449,48673.862513104415249407
0x06a3b4c20becE121a2625368AfDaA41DbdF6eCe7,48023
0x0295522beDd626D812B6963CA1AB9BFF006D61c3,47782.975752832215357584
0x247e28FDE9fe07e2D47fCf7bDD2E8D3716AE87dB,47529.848899954036634025
0x9142613236999469373791539450712140575116,4.75E+4
0x49c698Fa59878c970230F41F7f1C5Faa779ed6ea,46329.591683886211816263
0x9Fd13De2A0c38173Bc9AfB753A8DB820cAeb4d8A,44836.656959074894409066
0x8232CDDD84878B93140a334508406A59CE914781,43383.413504243961831594
0x97ba8Ba6Fe41B063A693a3144E8294470895A402,42688.030400871355594987
0x56615F63Ec4e2e177013804c3facd484d370a0Dc,42517.194442262519876433
0xaa9433E5EC3f7d0fFd5Bb4154EA31eC32e9118F6,42452.737021574262022916
0x4F53B5E63454F05EA8945ddF6551cF33Ce4e081E,39383.94982884185681981
0x7afc8E57C82171eF4b9aed85987AE3818603062f,39376.636491440102766893
0xcEb83C166444e80cAF1d64823f86a4e758936815,39337.605941368733051949
0x18C32652Fa7370E2A98A397ff21E12570c641272,38191.899999999999999966
0x3400c4B41041Ad826737f01bB3BaE31C880e3A19,35340.403982428452757593
0xEfe10972384E14fe2F4163E719C75FdCb9e581e6,35232.215749058608571823
0x7290d9ee7AA9c155782e4774217A0211eDbe0DaC,32566.416945804654417181
0x6aCb028dd9764Bb41f0ed64c01113b984755365f,32003.262112727412069745
0x5e0B5759CddF1778f47854ECeC888A2350631096,30299.679943361619922762
0xF3696b2E466F1Dfc7BB52Db72E4966AF1d9B0BFf,30286.892353620108978832
0xA3deB012Dca06b12a7e9AE06738fCCB4D39a6324,30096.681379593231254933
0xa4c43879176eeE7FE617f46302ae41Be7f54812A,30040.273439788677160911
0x8723af66e4377dF827b9135B8bca3D4352d0f130,3E+4
0x9A2797858FdA38304f577A28Bfa29b79a2388c1d,28259.84274447828083201
0x1f049002e4d68aD8A072bf71d1690FAbad33CfEb,27998.809489730236795997
0x87F4945ba54F24cE4bF8Ba72bD5663931deEC872,26451.675233527867904124
0xA759AF0D4f2E3753Ff05E8e4A12D710657701cF8,26257.510418367873498392
0xdd9d6710215893475EFe0CbB54d62357D727f760,26103.416088865913715752
0xBF250001828248D8Fcc89022c984625cDa517507,25922.711255002721537754
0xD59517a20222b9303DdA7FBdC869862243ea5919,25599.235559673097111811
0x20ebF0b55Cd1f0769514f96168399D51e35DC4af,2.5E+4
0x8E4Fef7a085c83791188b815C3A612C21F1abC24,24596.968286760169463604
0x21779221e17E82e9deb99852063deD009a0DE9b4,23920.956919160434477787
0x6a20e8b794510cb786df6B574A7EA31aD45D4A99,23767.766281008014907806
0x4F9a6c50d102b4d3A7dd3Dc2C310Cca7df1e4f7C,23623.48422720612086629
0x3556185dd02ae2B5F0B394a54FBf468149506519,23476.308992682669573933
0xa9ddd4215b433585321833017380C94C96fddFB4,23301.706376539846207426
0x011819218362998e2Eb44659D86f2aC728020699,22666.25834809394205768
0xeEc54E9b0abA83aC400E331Cd2aD5390DAe4723C,22441.585742603993338071
0x2C4EBD1eeA45fABb32D85E799Cc7859eDFeB75eb,22164.264886415285893272
0x9f00e660B3892F1C5822AaEdd5Ce4B049253EB22,21786.406965037988015287
0xd6788115BA5B20D0803537fa115b72F28cB87bfE,21562.092891295253288748
0xF568b4eA972aE15F69453d96Fa172093971a6304,20544.533547199328402234
0x50dE94814003679D8bc854Be7010A59bb791efd1,20146.333394033191226637
0xe2528F9B0808749429895E606C392Ec63d4a6b74,20128.538204549798874542
0x9677B4D7F582e496d684372f05A7b4f4B5B9f523,20126.663794132953011698
0xd1887df7Bdd573a7e7104F3D41eF2Cd7325180Ca,2E+4
0xD63aA5DE2d1aeb95CCa0cCB40aEb723C2bA733b2,19400.417994090873262573
0xE06D00EaB619e24E15bDBc9dAa3DBB0d6f90846C,19095.95
0xDe7CE400b0B00b983E8336F286E3C39774CeA2A4,19095.95
0xBB17Ac4Fc8b02BB42945E09CfE627C8634F89c80,19095.95
0xA708431A2306cF13c4d5EA7D0e341EEf05F867B5,19095.95
0x989955A7CC44b6b714c122a2F5F00AD3442EbB39,19095.95
0x74972C374E5711Ab7020B7E347F13Dde07e41b57,19095.95
0x7198633a2B4C4119a90F46917CE016683A464B3A,19095.95
0x65d67f7974E11d8Ad66b8cD578d426B35653173E,19095.95
0x44A3739129fa643E134232CfF490cd8FAa908eFb,19095.95
0x1D2D97317c2C4ff485a7c04155cDb8eD48Dde503,19095.95
0x147B13F109e65d25E76A3A58da617F74830795ee,19095.95
0x093A058C479FB9a09953ef813fC4BC659b5f8453,19095.95
0xD9149613a478b7B2AA8f3c0b01A714254508373f,1.9E+4
0xA0eb5c1E39267fBE331cA88970Bf0f0EAE0473D7,1.9E+4
0x71EA0A111A90E549F1a781B775C242633e6efa15,1.9E+4
0x6B9e0506633382Ef573BB0491d6F569AaA7c9fD2,1.9E+4
0x607464247B93f7f9b98AC9ED9E7Ff15Bafa6Bb5C,1.9E+4
0x5D13483243c442f7e6bE34FcA515FB8c17967646,1.9E+4
0x46400a7E8912611711b5EC7e41aE2c41AE058271,1.9E+4
0x36fC2BdcC4297F3D9552CA30d84f7DA99ce402B4,1.9E+4
0x2de2Dae938390ac26b8Ee0d6deCD2E5B5abE8DCD,1.9E+4
0xBB60507917cB47fb23720CA6A2dC98C106b01d8d,18537.374537474023115793
0x5F4EA535C43e1c1dbF719d66918aCd106F487832,18152.113766799187509586
0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0,18151.374999720383094691
0xf1B1Ac4CC89b151DE017e06ed7D82436505a6056,17967.507731870678840869
0xf3b76648cEc7E9de54A0FcA7847EcB3e94BD3469,17891.170739083863225099
0xFe36AacBCF5677a4A04288764C16acb4220894b9,17633.855219007638827065
0xD45f1c0847e9C7D11D73DBC76FcC9168f1454270,17589.84357492128469683
0x7A921b0365B4571beE00ba5A1DbB422B11f13F9e,17499.999996506169530826
0xe7eBa8E6567222a2B0418ee2960787d9560a3327,17438.107404481422191115
0x6D0197E6e67c82c32e3C94Bd3D7Bab78B05D4AC1,16894.892030411673890021
0x64606F2eF4CCb2186F07C8F42F0164A98ba4d869,16880.274977268534630418
0x54Fd92a82Fd6F58cA8d607E7eAdF95b908468F3b,16681.271258009025842271
0x5917203d5f77fC8100177dE85F5192281c7836EC,16482.054983761915053721
0x6aa7d92FD1676F0820fF14273c5e007132E4c130,16195.18415585525674517
0x8C3C15743b2868D0f9afC41F3F0dc515F669BA48,15430.665593254146519603
0x64c0034771c22A8e33b68D87a73B473E3b9852a3,15275.230813052218659382
0xCC840bbFCEAF7801500D47B153D824509Ce63Da0,1.5E+4
0x24a0eEf0aDD6Aa788b1F09643704527b579ab781,14984.683156318069066338
0x84C54B706796E6BFDA524A76E5d7291daE2257D4,14927.203053694827368367
0xA868a3f0983a84773aBE158D731FF08D0C25d627,14740.966418675027478558
0x9Ab6164976514F1178E2BB4219DA8700c9D96E9A,14737.677438739677379618
0xfeE9088172B13C6120227fA2C99E0039CED98C3F,14697.64583883795804971
0xa08c3F765D588928a26bE289b252fb02981dfE91,14000.545497351732536951
0xd31f80D3969CF58fBf52c46a089E130F139135c8,13885.855298245370626378
0x7F915EABA16d14e03fe3E06EcACF6ac0Ed101014,13883.692295361713376667
0xB480E31afd259Fa731d5A7067fb378dFc3c9d983,13809.095309487839034735
0xDb1f61aC982afA20223cB015a415Ad541F0c1d99,13708.562137643586677857
0x5Ba78802FDAB6589F503899Da96089eE8B67615F,13661.694475122124567103
0x605Fc336702D094069e48D3DC3F5D6E3134F2B80,13517
0xB86685FB98e4907D20d7CF4166AAB2ef842F683F,13233.385938357962874835
0xD4638a34CE9E5B50C94517797B47d669D941BCd0,13095.086536092257960122
0x46CB259CDccd1e931a22a14F064e76329271ABC2,13026.748733269203953748
0xaB851D55E9981BF36b2C67111343d0b5717b6C0c,1.3E+4
0x30CCEEEC52C250ac839FdF8255d0F14Be9359290,1.3E+4
0x56de704a2031590a1Ce2EE747cDfE0f2aF3d3312,12958.944698913570125812
0x3FDAED800dE6b425C95A05Fbb8bDf3dd1F0Ee3B3,12896.680386896597821183
0x857F7f08fA652381Fc6b77d551C0D7022F3bc9E6,12891.668887484534740497
0x5DdCb1a6c043B88f7359f098Bbb018362CFe4D26,12745.304869225669881096
0xE1D2ceab97eC7B90cB671ee7B06170Ed15dC03a1,12557.13929355698896896
0x32a382d1621a966cef4032c9a181F227e8D4b801,12421.213961584252923376
0xec53C3a10991491B00A1820bf49E3644AF1433BB,12260.226827968587244722
0x2E3AE5b2EDc3b9645CFC07E881a57fc0c88453c2,12202.330249673666732657
0xbC8c51eB156Cc9F95Bc7475dDfc6CDb74e269502,12168.240754031967414942
0xB459C14c8b7bF93014D0c37217358bE97DC3C524,12155.661172288481072764
0x031C224886479C9421F2631f45DF5ee001684788,12140.854686968594867209
0x03998b821AB247677a034762CA7F99fACF227975,12132.475175427728022835
0xFcBb0E5935AED023435Fca45b61d1223eE785472,12124.886206387597127974
0x5800B644F309F8d85FC5e243ffc08588093DfF4e,12081.763046284049947417
0xf19F3316aBcCA5e6A7aA47132116d88136edEBd7,12079.842721322738723944
0xFdA29D0106c397c67830F750CA88b075C65da0D5,12038.869629720689869402
0x842953962B59e7527F225d44D72a4c8149890c77,12019.289702051583006622
0xB2EF468dD726AcEb993e4d618637686B1d4dACA2,11959.191036649969688778
0x71806f9b599DBc10F4e2849e454373d9457FA28D,11791.626369690523768351
0x56A9f3FbB49606116d71D5D51f5388188120DCCc,11752.358797574492656732
0x6d4c14d12C96B7C106640EAa7eca1e9C46153292,11692.687928877769209414
0x0da71d9259d3699D6FB6C7F8063047c53f65D0a3,11648.042219505194917886
0xb9650eD832EC4ae64A83bEe171Edfcb4cF1265AC,11425.311543032580309428
